#  	E[MeV]	Flux[1/MeV/cm**2/s]
3.00000e+04	2.13267e-23
3.14452e+04	2.04628e-23
3.29600e+04	1.97365e-23
3.45477e+04	1.89997e-23
3.62120e+04	1.83039e-23
3.79564e+04	1.76763e-23
3.97848e+04	1.70184e-23
4.17014e+04	1.64757e-23
4.37102e+04	1.59087e-23
4.58159e+04	1.53818e-23
4.80229e+04	1.48879e-23
5.03363e+04	1.43805e-23
5.27611e+04	1.39491e-23
5.53028e+04	1.34968e-23
5.79668e+04	1.30858e-23
6.07592e+04	1.26901e-23
6.36861e+04	1.22921e-23
6.67541e+04	1.19433e-23
6.99698e+04	1.15778e-23
7.33404e+04	1.12455e-23
7.68734e+04	1.09143e-23
8.05765e+04	1.05868e-23
8.44581e+04	1.02890e-23
8.85267e+04	9.97690e-24
9.27912e+04	9.69927e-24
9.72612e+04	9.41662e-24
1.01947e+05	9.14101e-24
1.06858e+05	8.88235e-24
1.12005e+05	8.61124e-24
1.17401e+05	8.37128e-24
1.23056e+05	8.12143e-24
1.28984e+05	7.88188e-24
1.35198e+05	7.65210e-24
1.41710e+05	7.41358e-24
1.48537e+05	7.19498e-24
1.55692e+05	6.96585e-24
1.63192e+05	6.74822e-24
1.71054e+05	6.53405e-24
1.79294e+05	6.31532e-24
1.87931e+05	6.11359e-24
1.96984e+05	5.90215e-24
2.06473e+05	5.70409e-24
2.16419e+05	5.50546e-24
2.26845e+05	5.30607e-24
2.37772e+05	5.12002e-24
2.49227e+05	4.92501e-24
2.61232e+05	4.74531e-24
2.73817e+05	4.56195e-24
2.87007e+05	4.37951e-24
3.00833e+05	4.20403e-24
3.15325e+05	4.02009e-24
3.30515e+05	3.85345e-24
3.46436e+05	3.68045e-24
3.63125e+05	3.51294e-24
3.80618e+05	3.35187e-24
3.98953e+05	3.18429e-24
4.18171e+05	3.03483e-24
4.38316e+05	2.87817e-24
4.59430e+05	2.72973e-24
4.81562e+05	2.58490e-24
5.04760e+05	2.43702e-24
5.29076e+05	2.30426e-24
5.54563e+05	2.16510e-24
5.81277e+05	2.03538e-24
6.09279e+05	1.90628e-24
6.38629e+05	1.77745e-24
6.69394e+05	1.66141e-24
7.01640e+05	1.53978e-24
7.35440e+05	1.43204e-24
7.70868e+05	1.32381e-24
8.08002e+05	1.21884e-24
8.46926e+05	1.12394e-24
8.87724e+05	1.02446e-24
9.30488e+05	9.40781e-25
9.75312e+05	8.54957e-25
1.02230e+06	7.74737e-25
1.07154e+06	7.01869e-25
1.12316e+06	6.25914e-25
1.17727e+06	5.64275e-25
1.23398e+06	4.99666e-25
1.29342e+06	4.42392e-25
1.35573e+06	3.90218e-25
1.42104e+06	3.37613e-25
1.48949e+06	2.96819e-25
1.56124e+06	2.54060e-25
1.63645e+06	2.19256e-25
1.71529e+06	1.87549e-25
1.79791e+06	1.56942e-25
1.88452e+06	1.33603e-25
1.97531e+06	1.09139e-25
2.07046e+06	9.13260e-26
2.17020e+06	7.48084e-26
2.27475e+06	6.01050e-26
2.38433e+06	4.98537e-26
2.49918e+06	3.91086e-26
2.61958e+06	3.28710e-26
2.74577e+06	2.69423e-26
2.87804e+06	2.24503e-26
3.01668e+06	1.99227e-26
3.16200e+06	1.72734e-26
