#e  e2dnde
5.64799e-2  1.36296e-10
6.10921e-2  1.34149e-10
6.60809e-2  1.29955e-10
7.14771e-2  1.27908e-10
7.73139e-2  1.20036e-10
8.36274e-2  1.18145e-10
9.12488e-2  1.10873e-10
9.87002e-2  1.09127e-10
1.06760e-1  1.07407e-10
1.15478e-1  9.76462e-11
1.26002e-1  9.31034e-11
1.36292e-1  8.73734e-11
1.47421e-1  9.16366e-11
1.59460e-1  8.19961e-11
1.72481e-1  7.81814e-11
1.86566e-1  7.10762e-11
2.03569e-1  6.35987e-11
2.20193e-1  6.35987e-11
2.38174e-1  5.51289e-11
2.57623e-1  5.01187e-11
2.78661e-1  4.70342e-11
3.01416e-1  4.27597e-11
3.28886e-1  3.70651e-11
3.52654e-1  3.11246e-11
3.84793e-1  3.01516e-11
4.16215e-1  2.22985e-11
4.50204e-1  2.19472e-11
4.86968e-1  1.99526e-11
5.26733e-1  1.62310e-11
5.74738e-1  1.18145e-11
6.21671e-1  9.92091e-12
6.72437e-1  9.31034e-12
7.27348e-1  6.88543e-12
7.93636e-1  5.78188e-12
8.58444e-1  3.82612e-12
9.28545e-1  2.33865e-12
1.00437e+0  2.02720e-12
1.08639e+0  1.42946e-12
